step,id,parentOperators,operation,objects,alias,expressions,partitionsTotal,partitionsAssigned,bytesAssigned
,,,GlobalStats,,,,1,1,2048
1,0,,Result,,,"STG_ORDERS.ORDER_ID, STG_ORDERS.CUSTOMER_ID, STG_ORDERS.ORDER_DATE, STG_ORDERS.STATUS",,,
1,1,[0],Sort,,,STG_ORDERS.CUSTOMER_ID ASC NULLS LAST,,,
1,2,[1],Filter,,,ROW_NUMBER() OVER (PARTITION BY STG_ORDERS.CUSTOMER_ID ORDER BY STG_ORDERS.ORDER_DATE DESC NULLS FIRST) = 1,,,
1,3,[2],WindowFunction,,,ROW_NUMBER() OVER (PARTITION BY STG_ORDERS.CUSTOMER_ID ORDER BY STG_ORDERS.ORDER_DATE DESC NULLS FIRST),,,
1,4,[3],TableScan,PC_DBT_DB.DBT_LCARABET.STG_ORDERS,,"ORDER_ID, CUSTOMER_ID, ORDER_DATE, STATUS",1,1,2048
